"","end_place","start_place","bike_number","start_timestamp","end_timestamp","czas_poczatkowy","czas_koncowy","coordinate_start","lat_start","lng_start","name_start","coordinate_end","lat_end","lng_end","name_end","distance","ID","duration","speed","direct","direct_name","time_start","data","rok","miesiac","dzien","godzina","h","m","s","time_end","dzien_tygodnia","wday","qh"
"2",3581086,3580938,63162,1627769742,1627771798,2021-08-01 00:15:42,2021-08-01 00:49:58,"54.1872,15.59208",54.1872,15.59208,"Kamienny Szaniec","54.19271,15.66269",54.19271,15.66269,"Podczele - ul. Brzeska",7882.43331088458,"54.1872,15.59208 54.19271,15.66269",2056,13.8019260307317,"3580938_3581086","Kamienny Szaniec -> Podczele - ul. Brzeska",2021-08-01 00:15:42,"2021-08-01","2021","08","01","00:15:42","00","15","42",2021-08-01 00:49:58,"niedz\.",1,"00:"
"3",3562243,3581078,63006,1627771798,1627772640,2021-08-01 00:49:58,2021-08-01 01:04:00,"54.16255,15.54869",54.16255,15.54869,"ul. Toruńska","54.18194,15.57067",54.18194,15.57067,"Dworzec PKP",3211.02203342958,"54.16255,15.54869 54.18194,15.57067",842,13.7288352973236,"3581078_3562243","ul. Toruńska -> Dworzec PKP",2021-08-01 00:49:58,"2021-08-01","2021","08","01","00:49:58","00","49","58",2021-08-01 01:04:00,"niedz\.",1,"00:"
"4",3581080,3562243,63049,1627772399,1627774207,2021-08-01 00:59:59,2021-08-01 01:30:07,"54.18194,15.57067",54.18194,15.57067,"Dworzec PKP","54.15675,15.5538",54.15675,15.5538,"ul. Świętego Wojciecha",3289.97804325625,"54.18194,15.57067 54.15675,15.5538",1808,6.55084123657217,"3562243_3581080","Dworzec PKP -> ul. Świętego Wojciecha",2021-08-01 00:59:59,"2021-08-01","2021","08","01","00:59:59","00","59","59",2021-08-01 01:30:07,"niedz\.",1,"00:"
"5",3580557,3562243,63073,1627772640,1627773363,2021-08-01 01:04:00,2021-08-01 01:16:03,"54.18194,15.57067",54.18194,15.57067,"Dworzec PKP","54.17906,15.59042",54.17906,15.59042,"Ogrody - ul. Fredry",2220.14305516605,"54.18194,15.57067 54.17906,15.59042",723,11.0546542165944,"3562243_3580557","Dworzec PKP -> Ogrody - ul. Fredry",2021-08-01 01:04:00,"2021-08-01","2021","08","01","01:04:00","01","04","00",2021-08-01 01:16:03,"niedz\.",1,"01:"
"6",3581078,3562243,63006,1627773484,1627774569,2021-08-01 01:18:04,2021-08-01 01:36:09,"54.18194,15.57067",54.18194,15.57067,"Dworzec PKP","54.16255,15.54869",54.16255,15.54869,"ul. Toruńska",3211.02203342958,"54.18194,15.57067 54.16255,15.54869",1085,10.6540823229,"3562243_3581078","Dworzec PKP -> ul. Toruńska",2021-08-01 01:18:04,"2021-08-01","2021","08","01","01:18:04","01","18","04",2021-08-01 01:36:09,"niedz\.",1,"01:"
"7",3579613,3575154,63059,1627775892,1627777940,2021-08-01 01:58:12,2021-08-01 02:32:20,"54.17592,15.58307",54.17592,15.58307,"Ul. Słowińców","54.1752,15.56177",54.1752,15.56177,"Stadion",2372.36184154137,"54.17592,15.58307 54.1752,15.56177",2048,4.17016729958445,"3575154_3579613","Ul. Słowińców -> Stadion",2021-08-01 01:58:12,"2021-08-01","2021","08","01","01:58:12","01","58","12",2021-08-01 02:32:20,"niedz\.",1,"01:"
"8",3579613,3575154,63036,1627775892,1627778060,2021-08-01 01:58:12,2021-08-01 02:34:20,"54.17592,15.58307",54.17592,15.58307,"Ul. Słowińców","54.1752,15.56177",54.1752,15.56177,"Stadion",2372.36184154137,"54.17592,15.58307 54.1752,15.56177",2168,3.93934623134176,"3575154_3579613","Ul. Słowińców -> Stadion",2021-08-01 01:58:12,"2021-08-01","2021","08","01","01:58:12","01","58","12",2021-08-01 02:34:20,"niedz\.",1,"01:"
"9",3580557,3562243,63091,1627782516,1627782999,2021-08-01 03:48:36,2021-08-01 03:56:39,"54.18194,15.57067",54.18194,15.57067,"Dworzec PKP","54.17906,15.59042",54.17906,15.59042,"Ogrody - ul. Fredry",2220.14305516605,"54.18194,15.57067 54.17906,15.59042",483,16.5476501006165,"3562243_3580557","Dworzec PKP -> Ogrody - ul. Fredry",2021-08-01 03:48:36,"2021-08-01","2021","08","01","03:48:36","03","48","36",2021-08-01 03:56:39,"niedz\.",1,"03:"
"10",3581049,3579613,63050,1627785168,1627785539,2021-08-01 04:32:48,2021-08-01 04:38:59,"54.1752,15.56177",54.1752,15.56177,"Stadion","54.17112,15.56722",54.17112,15.56722,"ul. 1 Maja",748.00076326206,"54.1752,15.56177 54.17112,15.56722",371,7.25822843057524,"3579613_3581049","Stadion -> ul. 1 Maja",2021-08-01 04:32:48,"2021-08-01","2021","08","01","04:32:48","04","32","48",2021-08-01 04:38:59,"niedz\.",1,"04:"
"11",3562243,3575154,63095,1627788786,1627789268,2021-08-01 05:33:06,2021-08-01 05:41:08,"54.17592,15.58307",54.17592,15.58307,"Ul. Słowińców","54.18194,15.57067",54.18194,15.57067,"Dworzec PKP",1523.84610146623,"54.17592,15.58307 54.18194,15.57067",482,11.381423164478,"3575154_3562243","Ul. Słowińców -> Dworzec PKP",2021-08-01 05:33:06,"2021-08-01","2021","08","01","05:33:06","05","33","06",2021-08-01 05:41:08,"niedz\.",1,"05:"
